Year,Australia*,Argentina,Brazil,Canada*,China,Chile,Colombia,Hong Kong,Indonesia,India,Israel,Japan*,Korea,Malaysia,Mexico,Philippines,Russia,Saudi Arabia,Sweden*,Singapore,Switzerland*,Taiwan,Thailand,United Kingdom*,Vietnam,Euro Area*,TOTAL
2006,1.3,0.348,1.742,18.484,12.386,0.569,0.56,1.26,0.603,1.514,1.192,9.137,3.106,1.748,11.296,0.709,0.633,0.435,0.817,1.668,1.833,2.502,1.129,6.008,0.334,18.685,99.998
2007,1.356,0.376,1.826,17.965,12.921,0.553,0.605,1.248,0.623,1.759,1.223,8.396,3.019,1.465,10.908,0.674,0.646,0.546,0.79,1.66,1.901,2.413,1.078,6.108,0.413,19.527,99.999
2008,1.47,0.454,2.093,17.269,13.066,0.576,0.667,1.234,0.688,1.948,1.269,8.004,2.973,1.395,10.702,0.66,0.771,0.585,0.775,1.565,2.138,2.195,1.065,6.041,0.497,19.897,99.997
2009,1.615,0.447,2.034,15.779,14.153,0.581,0.667,1.311,0.707,2.093,1.233,7.365,3.061,1.313,11.045,0.612,0.669,0.696,0.775,1.673,2.497,2.077,1.044,5.987,0.601,19.965,100
2010,1.525,0.474,2.189,16.051,15.008,0.575,0.64,1.297,0.756,2.134,1.186,7.542,3.264,1.313,11.671,0.614,0.588,0.585,0.716,1.734,2.354,2.34,1.07,5.422,0.617,18.336,100.001
2011,1.659,0.52,2.451,15.848,14.94,0.673,0.647,1.326,0.774,2.254,1.24,7.168,3.309,1.2,11.823,0.609,0.679,0.612,0.664,1.7,2.207,2.308,1.038,5.278,0.649,18.425,100.001
2012,1.703,0.506,2.419,15.619,15.267,0.707,0.652,1.296,0.746,2.272,1.161,7.529,3.25,1.118,12.303,0.634,0.703,0.732,0.614,1.676,2.284,2.124,1.055,5.191,0.713,17.726,100
2013,1.561,0.531,2.402,15.442,15.676,0.686,0.661,1.398,0.767,2.294,1.152,7.057,3.328,1.129,12.649,0.627,0.703,0.762,0.562,1.499,2.361,2.047,1.06,5.052,0.812,17.782,100
2014,1.542,0.489,2.317,15.024,15.765,0.617,0.696,1.432,0.732,2.341,1.144,6.689,3.357,1.169,12.904,0.633,0.717,0.68,0.57,1.437,2.361,2.058,1.055,5.173,0.942,18.159,100.003
2015,1.529,0.521,2.092,13.941,15.96,0.63,0.638,1.405,0.705,2.492,1.151,6.401,3.416,1.225,13.354,0.629,0.53,0.72,0.552,1.562,2.391,2.035,1.088,5.421,1.16,18.45,99.998
2016,1.432,0.536,1.93,13.713,15.72,0.602,0.593,1.417,0.674,2.658,1.123,6.507,3.357,1.291,13.369,0.658,0.48,0.662,0.536,1.604,2.549,2.03,1.114,5.329,1.353,18.764,100.001
2017,1.43,0.56,2.018,13.545,16.129,0.618,0.58,1.463,0.685,2.727,1.074,6.387,3.398,1.263,13.245,0.68,0.536,0.577,0.532,1.675,2.675,1.95,1.112,5.159,1.338,18.644,100
2018,1.395,0.507,1.979,13.384,15.835,0.625,0.604,1.41,0.675,2.874,1.053,6.272,3.322,1.246,13.524,0.687,0.526,0.499,0.52,1.848,2.554,1.95,1.096,5.306,1.364,18.947,100.002
2019,1.395,0.507,1.979,13.384,15.835,0.625,0.604,1.41,0.675,2.874,1.053,6.272,3.322,1.246,13.524,0.687,0.526,0.499,0.52,1.848,2.554,1.95,1.096,5.306,1.364,18.947,100.002
2020,1.395,0.507,1.979,13.384,15.835,0.625,0.604,1.41,0.675,2.874,1.053,6.272,3.322,1.246,13.524,0.687,0.526,0.499,0.52,1.848,2.554,1.95,1.096,5.306,1.364,18.947,100.002
