DATE	BAMLC0A2CAA	BAMLC0A2CAAEY	BAMLC0A4CBBB	BAMLC0A4CBBBEY	BAMLH0A0HYM2	BAMLHE00EHYIOAS	VIXCLS	WILL5000IND	WILL5000INDFC	WILL5000PR
1990-01-02							17.24	8.97	8.97	3469.28
1990-01-03							18.19	8.97	8.97	3467.69
1990-01-04							19.22	8.91	8.91	3444.69
1990-01-05							20.11	8.83	8.83	3418.30
1990-01-08							20.26	8.86	8.86	3427.01
1990-01-09							22.20	8.78	8.78	3394.91
1990-01-10							22.44	8.71	8.71	3369.43
1990-01-11							20.05	8.73	8.73	3377.74
1990-01-12							24.64	8.54	8.54	3300.59
1990-01-15							26.34	8.46	8.46	3271.91
1990-01-16							24.18	8.53	8.53	3297.26
1990-01-17							24.16	8.47	8.47	3274.87
1990-01-18							24.34	8.48	8.48	3276.64
1990-01-19							22.50	8.50	8.50	3286.25
1990-01-22							26.70	8.31	8.31	3212.18
1990-01-23							24.72	8.31	8.31	3215.56
1990-01-24							25.39	8.27	8.27	3190.20
1990-01-25							25.63	8.18	8.18	3163.07
1990-01-26							26.28	8.15	8.15	3152.35
1990-01-29							26.44	8.13	8.13	3140.17
1990-01-30							27.25	8.06	8.06	3112.99
1990-01-31							25.36	8.19	8.19	3163.30
1990-02-01							24.87	8.20	8.20	3166.40
1990-02-02							24.32	8.26	8.26	3189.76
1990-02-05							24.54	8.30	8.30	3201.87
1990-02-06							24.69	8.26	8.26	3186.69
1990-02-07							24.29	8.35	8.35	3218.33
1990-02-08							23.77	8.34	8.34	3216.98
1990-02-09							23.69	8.36	8.36	3224.00
1990-02-12							24.38	8.29	8.29	3193.87
1990-02-13							23.76	8.30	8.30	3198.14
1990-02-14							22.05	8.32	8.32	3204.38
1990-02-15							19.71	8.39	8.39	3230.36
1990-02-16							20.78	8.35	8.35	3215.68
1990-02-19							.	.	.	.
1990-02-20							22.78	8.24	8.24	3174.67
1990-02-21							23.89	8.23	8.23	3167.27
1990-02-22							22.54	8.20	8.20	3156.66
1990-02-23							23.69	8.15	8.15	3138.68
1990-02-26							23.56	8.23	8.23	3167.33
1990-02-27							22.69	8.28	8.28	3182.93
1990-02-28							21.99	8.32	8.32	3201.21
1990-03-01							21.90	8.35	8.35	3210.98
1990-03-02							21.34	8.42	8.42	3237.64
1990-03-05							22.03	8.39	8.39	3225.15
1990-03-06							20.55	8.48	8.48	3258.50
1990-03-07							19.10	8.46	8.46	3253.10
1990-03-08							19.74	8.54	8.54	3281.11
1990-03-09							20.30	8.50	8.50	3264.77
1990-03-12							20.07	8.51	8.51	3270.18
1990-03-13							21.05	8.46	8.46	3249.66
1990-03-14							19.65	8.48	8.48	3257.00
1990-03-15							18.81	8.50	8.50	3267.16
1990-03-16							17.62	8.58	8.58	3296.34
1990-03-19							18.29	8.62	8.62	3308.01
1990-03-20							19.06	8.57	8.57	3292.46
1990-03-21							20.10	8.54	8.54	3277.94
1990-03-22							22.74	8.44	8.44	3241.75
1990-03-23							20.46	8.47	8.47	3253.47
1990-03-26							19.59	8.49	8.49	3257.76
1990-03-27							21.01	8.56	8.56	3286.05
1990-03-28							19.77	8.57	8.57	3287.18
1990-03-29							18.46	8.54	8.54	3277.81
1990-03-30							19.73	8.53	8.53	3273.46
1990-04-02							22.84	8.49	8.49	3258.45
1990-04-03							20.44	8.60	8.60	3300.43
