Data Source in SDW: http://sdw/browse.do?node=BASKET109379
,FM.B.U2.EUR.BL.EI.SX5E.HST,FM.B.U2.EUR.BL.VL.V2X.HST,FM.B.US.EUR.DS.EI.CBOEVIX_E0.HST,FM.B.US.USD.BL.VL.VIX.HST,FM.B.US.USD.DS.EI.CBOEVIX.HST,FM.B.US.USD.DS.EI.S_PCOMP.HST
,"Euro area (changing composition), Euro, Bloomberg, Equity/index, Dow Jones Euro Stoxx 50 EUR Price Index","Euro area (changing composition), Euro, Bloomberg, Volatility, Dow Jones EURO STOXX 50 Volatility Index VSTOXX","United States, Euro, DataStream, Equity/index, Chicago Board Of Exchange (CBOE) SPX Volatility VIX (new)","United States, US dollar, Bloomberg, Volatility, Chicago Board Options Exchange (CBOE) SPX Volatility Index","United States, US dollar, DataStream, Equity/index, Chicago Board Of Exchange (CBOE) SPX Volatility VIX (new)","United States, US dollar, DataStream, Equity/index, Standard and Poors 500 Composite Index"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Points ],[Percent per annum ],[Points ],[Percent per annum ],[Points ],[Points ]
2020-03-10,,53.8031,,52.0000,,
2020-03-09,2959.0700,54.0993,47.6900,54.4600,54.4600,2746.5600
2020-03-06,3232.0700,43.0212,37.0800,41.9400,41.9400,2972.3700
2020-03-05,3363.5800,33.1404,35.4100,39.6200,39.6200,3023.9400
2020-03-04,3420.5600,29.7565,28.7100,31.9900,31.9900,3130.1200
2020-03-03,3371.9700,33.4532,32.9400,36.8200,36.8200,3003.3700
2020-03-02,3338.8300,36.1186,30.0200,33.4200,33.4200,3090.2300
2020-02-28,3329.4900,42.2369,36.5200,40.1100,40.1100,2954.2200
2020-02-27,3455.9200,34.6989,35.6500,39.1600,39.1600,2978.7600
2020-02-26,3577.6800,24.5403,25.3700,27.5600,27.5600,3116.3900
2020-02-25,3572.5100,27.4449,25.6300,27.8500,27.8500,3128.2100
2020-02-24,3647.9800,22.6584,23.0600,25.0300,25.0300,3225.8900
2020-02-21,3800.3800,15.7536,15.7400,17.0800,17.0800,3337.7500
2020-02-20,3822.9800,14.0900,14.4000,15.5600,15.5600,3373.2300
2020-02-19,3865.1800,12.8829,13.3200,14.3800,14.3800,3386.1500
2020-02-18,3836.5400,13.8431,13.7000,14.8300,14.8300,3370.2900
2020-02-17,3853.2700,12.9654,,,,
2020-02-14,3840.9700,13.0625,12.6100,13.6800,13.6800,3380.1600
2020-02-13,3846.7400,13.2476,13.0400,14.1500,14.1500,3373.9400
2020-02-12,3854.4300,12.4526,12.6100,13.7400,13.7400,3379.4500
2020-02-11,3825.8400,12.9201,13.9100,15.1800,15.1800,3357.7500
2020-02-10,3793.1800,13.7034,13.7700,15.0400,15.0400,3352.0900
2020-02-07,3798.4900,13.3241,14.1100,15.4700,15.4700,3327.7100
2020-02-06,3805.5200,12.9889,13.6300,14.9600,14.9600,3345.7800
2020-02-05,3777.8400,13.6052,13.7700,15.1500,15.1500,3334.6900
2020-02-04,3732.2800,14.4971,14.5400,16.0500,16.0500,3297.5900
2020-02-03,3661.2700,16.2837,16.2500,17.9700,17.9700,3248.9200
2020-01-31,3640.9100,17.1542,17.0000,18.8400,18.8400,3225.5200
2020-01-30,3690.7800,16.4174,14.0400,15.4900,15.4900,3283.6600
2020-01-29,3736.3600,14.4199,14.9000,16.3900,16.3900,3273.4000
2020-01-28,3719.2200,15.1979,14.8000,16.2800,16.2800,3276.2400
2020-01-27,3677.8400,17.1711,16.5500,18.2300,18.2300,3243.6300
2020-01-24,3779.1600,12.6665,13.2100,14.5600,14.5600,3295.4700
2020-01-23,3736.8500,13.1640,11.7500,12.9800,12.9800,3325.5400
