Data Source in SDW: http://sdw/quickview.do?SERIES_KEY=6.BISM.D.QKBA.US.02
,BISM.D.QKBA.US.02
,"United States - EXCH.RATE: US DOLLARS/1 EUR,SPOT AT 2:15 PM (CET)D& W,M,Q,A-AVG - NATIONAL CURRENCY EQUIVALENTS OF EURO (ECB REFERENCE RATE)"
Collection:,Middle of period (M)
Period\Unit:,[US dollar ]
2020-03-10,1.139000000
2020-03-09,1.145600000
2020-03-06,1.133600000
2020-03-05,1.118700000
2020-03-04,1.112500000
2020-03-03,1.111700000
2020-03-02,1.112200000
2020-02-28,1.097700000
2020-02-27,1.096400000
2020-02-26,1.087500000
2020-02-25,1.084000000
2020-02-24,1.081800000
2020-02-21,1.080100000
2020-02-20,1.079000000
2020-02-19,1.080000000
2020-02-18,1.081600000
2020-02-17,1.083500000
2020-02-14,1.084200000
2020-02-13,1.086700000
2020-02-12,1.091400000
2020-02-11,1.090100000
2020-02-10,1.095100000
2020-02-07,1.096900000
2020-02-06,1.100300000
2020-02-05,1.102300000
2020-02-04,1.104800000
2020-02-03,1.106600000
2020-01-31,1.105200000
2020-01-30,1.102900000
2020-01-29,1.100100000
2020-01-28,1.100500000
2020-01-27,1.102500000
2020-01-24,1.103500000
2020-01-23,1.109100000
2020-01-22,1.108800000
2020-01-21,1.111500000
2020-01-20,1.108500000
2020-01-17,1.110800000
2020-01-16,1.116900000
2020-01-15,1.114200000
2020-01-14,1.111500000
2020-01-13,1.112600000
2020-01-10,1.109100000
2020-01-09,1.111000000
2020-01-08,1.111500000
2020-01-07,1.117200000
2020-01-06,1.119400000
2020-01-03,1.114700000
2020-01-02,1.119300000
2019-12-31,1.123400000
2019-12-30,1.118900000
2019-12-27,1.115300000
2019-12-24,1.108000000
2019-12-23,1.107500000
2019-12-20,1.109700000
2019-12-19,1.111700000
2019-12-18,1.111500000
2019-12-17,1.116200000
2019-12-16,1.114600000
2019-12-13,1.117400000
2019-12-12,1.113700000
2019-12-11,1.107500000
2019-12-10,1.107700000
2019-12-09,1.107500000
2019-12-06,1.109400000
2019-12-05,1.109400000
2019-12-04,1.108100000
2019-12-03,1.107100000
2019-12-02,1.102300000
2019-11-29,1.098200000
2019-11-28,1.100500000
2019-11-27,1.100900000
2019-11-26,1.102000000
2019-11-25,1.100800000
2019-11-22,1.105800000
2019-11-21,1.109100000
2019-11-20,1.105900000
2019-11-19,1.107700000
2019-11-18,1.106100000
2019-11-15,1.103400000
2019-11-14,1.099700000
2019-11-13,1.100600000
2019-11-12,1.101500000
2019-11-11,1.104100000
2019-11-08,1.103400000
2019-11-07,1.107700000
2019-11-06,1.109000000
2019-11-05,1.110900000
2019-11-04,1.115800000
2019-11-01,1.113900000
2019-10-31,1.115400000
2019-10-30,1.110600000
2019-10-29,1.109500000
2019-10-28,1.108700000
2019-10-25,1.110700000
2019-10-24,1.112800000
2019-10-23,1.112300000
2019-10-22,1.113000000
2019-10-21,1.117300000
2019-10-18,1.114400000
2019-10-17,1.111300000
2019-10-16,1.102500000
2019-10-15,1.100700000
2019-10-14,1.103100000
2019-10-11,1.104300000
2019-10-10,1.103000000
2019-10-09,1.098100000
2019-10-08,1.098600000
2019-10-07,1.099300000
2019-10-04,1.097900000
2019-10-03,1.095100000
2019-10-02,1.092500000
2019-10-01,1.089800000
2019-09-30,1.088900000
2019-09-27,1.093500000
2019-09-26,1.093800000
2019-09-25,1.098200000
2019-09-24,1.100300000
2019-09-23,1.098500000
2019-09-20,1.103000000
2019-09-19,1.106700000
2019-09-18,1.105300000
2019-09-17,1.102600000
2019-09-16,1.103100000
2019-09-13,1.109600000
2019-09-12,1.096300000
2019-09-11,1.100300000
2019-09-10,1.104000000
2019-09-09,1.103300000
2019-09-06,1.102700000
2019-09-05,1.105800000
2019-09-04,1.101800000
2019-09-03,1.093700000
2019-09-02,1.096800000
2019-08-30,1.103600000
2019-08-29,1.107200000
2019-08-28,1.108300000
2019-08-27,1.110400000
2019-08-26,1.111600000
2019-08-23,1.106500000
2019-08-22,1.108300000
2019-08-21,1.110400000
2019-08-20,1.107600000
2019-08-19,1.110300000
2019-08-16,1.107600000
2019-08-15,1.115000000
2019-08-14,1.118800000
2019-08-13,1.122200000
2019-08-12,1.119400000
2019-08-09,1.119800000
2019-08-08,1.119300000
2019-08-07,1.120200000
2019-08-06,1.118700000
2019-08-05,1.118200000
2019-08-02,1.110600000
2019-08-01,1.103700000
2019-07-31,1.115100000
2019-07-30,1.115400000
2019-07-29,1.111900000
2019-07-26,1.113800000
2019-07-25,1.111500000
2019-07-24,1.114000000
2019-07-23,1.117300000
2019-07-22,1.121500000
2019-07-19,1.122600000
2019-07-18,1.121600000
2019-07-17,1.121500000
2019-07-16,1.122300000
2019-07-15,1.126900000
2019-07-12,1.125300000
2019-07-11,1.128500000
2019-07-10,1.122000000
2019-07-09,1.120500000
2019-07-08,1.121500000
2019-07-05,1.126000000
2019-07-04,1.128800000
2019-07-03,1.129300000
2019-07-02,1.130100000
2019-07-01,1.134900000
2019-06-28,1.138000000
2019-06-27,1.137000000
2019-06-26,1.136200000
2019-06-25,1.138800000
2019-06-24,1.139400000
2019-06-21,1.131600000
2019-06-20,1.130700000
2019-06-19,1.120700000
2019-06-18,1.118700000
2019-06-17,1.123400000
2019-06-14,1.126500000
2019-06-13,1.128900000
2019-06-12,1.132300000
2019-06-11,1.132000000
2019-06-10,1.130100000
2019-06-07,1.127300000
2019-06-06,1.126600000
2019-06-05,1.125700000
2019-06-04,1.124400000
2019-06-03,1.118500000
2019-05-31,1.115100000
2019-05-30,1.113400000
2019-05-29,1.115600000
2019-05-28,1.119200000
2019-05-27,1.119800000
2019-05-24,1.118700000
2019-05-23,1.113900000
2019-05-22,1.117100000
2019-05-21,1.116100000
2019-05-20,1.116700000
2019-05-17,1.117200000
2019-05-16,1.120300000
2019-05-15,1.118300000
2019-05-14,1.122600000
2019-05-13,1.124500000
2019-05-10,1.123000000
2019-05-09,1.119300000
2019-05-08,1.120200000
2019-05-07,1.118500000
2019-05-06,1.119900000
2019-05-03,1.115500000
2019-05-02,1.121200000
2019-04-30,1.121800000
2019-04-29,1.115000000
2019-04-26,1.113300000
2019-04-25,1.112300000
2019-04-24,1.120900000
2019-04-23,1.124500000
2019-04-18,1.125000000
2019-04-17,1.130100000
2019-04-16,1.130500000
2019-04-15,1.131300000
2019-04-12,1.132100000
2019-04-11,1.126400000
2019-04-10,1.127900000
2019-04-09,1.127700000
2019-04-08,1.124600000
2019-04-05,1.123300000
2019-04-04,1.121900000
2019-04-03,1.124300000
2019-04-02,1.120000000
2019-04-01,1.123600000
2019-03-29,1.123500000
2019-03-28,1.121800000
2019-03-27,1.126100000
2019-03-26,1.129100000
2019-03-25,1.132500000
2019-03-22,1.130200000
2019-03-21,1.138700000
2019-03-20,1.135400000
2019-03-19,1.135800000
2019-03-18,1.134900000
2019-03-15,1.130800000
2019-03-14,1.129500000
2019-03-13,1.130300000
2019-03-12,1.127500000
2019-03-11,1.124400000
2019-03-08,1.122200000
2019-03-07,1.127100000
2019-03-06,1.130500000
2019-03-05,1.132900000
2019-03-04,1.133700000
2019-03-01,1.138300000
2019-02-28,1.141600000
2019-02-27,1.138600000
2019-02-26,1.136100000
2019-02-25,1.135500000
2019-02-22,1.132500000
2019-02-21,1.135400000
2019-02-20,1.134200000
2019-02-19,1.129400000
2019-02-18,1.132800000
2019-02-15,1.126000000
2019-02-14,1.126800000
2019-02-13,1.130500000
2019-02-12,1.129600000
2019-02-11,1.130900000
2019-02-08,1.134600000
2019-02-07,1.134500000
2019-02-06,1.139400000
2019-02-05,1.142300000
2019-02-04,1.144500000
2019-02-01,1.147100000
2019-01-31,1.148800000
2019-01-30,1.142900000
2019-01-29,1.142200000
2019-01-28,1.141800000
2019-01-25,1.134600000
2019-01-24,1.134100000
2019-01-23,1.136700000
2019-01-22,1.135400000
2019-01-21,1.136200000
2019-01-18,1.140200000
2019-01-17,1.139600000
2019-01-16,1.138900000
2019-01-15,1.142400000
