ISIN,NAME,count,avgSharesEU,avgSharesEUplus,avgSharesUS,avgSharesUSplus
AN8068571086,SCHLUMBERGER,92,0.0995290652517957,0.235759518722697,0,0.296153455401994
BMG491BT1088,INVESCO,50,0.166042958181636,0.246616641794834,0.302783427478691,0.465477871878026
BMG6359F1370,NABORS INDUSTRIES,57,0,0,0.589969430261738,0.589969430261738
BMG982941046,XL GROUP DEAD - DELIST.12/09/18,68,0.114080909684655,0.428415084230512,0.396586568753114,0.396586568753114
CH0044328745,CHUBB,68,0.153333222615104,0.153333222615104,0,0.636665981263704
CH0048265513,TRANSOCEAN,51,0.0796216183733729,0.132702697288955,0.299903852784618,0.299903852784618
CH0102993182,TE CONNECTIVITY,44,0,0.343661294553775,0.319869453404903,0.319869453404903
GB00B6SLMV12,ROWAN COMPANIES CL.A DEAD - DELIST.11/04/19,66,0.0554887380940449,0.0739849841253932,0.653721770194089,0.653721770194089
GB00BDCPN049,COCA COLA EUROPACIFIC PARTNERS,70,0.612344340796987,0.612344340796987,0,0.494727052741771
GB00BFG3KF26,NOBLE CORPORATION DEAD - DELIST.09/02/21,50,0.128075825217023,0.128075825217023,0.417294225199129,0.417294225199129
IE00B40K9117,COOPER INDUSTRIES DEAD - ACQD.BY 903749,50,0.102233164240502,0.102233164240502,0.722924386072573,0.722924386072573
IE00B8KQN827,EATON,92,0.200753740121524,0.200753740121524,0.612288462251999,0.612288462251999
IE00BK9ZQ967,TRANE TECHNOLOGIES,87,0.2,1,0.498909387579236,0.498909387579236
IE00BLP1HW54,AON CLASS A,92,0.192393826471695,0.313303508913606,0.492406245879796,0.492406245879796
IE00BTN1Y115,MEDTRONIC,92,0.0842217201994929,0.184964897439863,0.485872137757955,0.607340172197443
IE00BY7QL619,JOHNSON CONTROLS INTL.,86,0.134628610964316,0.233050593501787,0.406624936032953,0.534217662400734
IE00BY9D5467,ALLERGAN DEAD - DELIST.11/05/20,84,0,0,1,1
PA1436583006,CARNIVAL,89,0.267359008549104,0.33419876068638,0.284508250175496,0.599993957115823
US0010551028,AFLAC,87,0,0,0.263164191315684,0.263164191315684
US00130H1059,AES,89,0.0630408702861179,0.0630408702861179,0.270023158970276,0.270023158970276
US00206R1023,AT&T,92,0.00627270610153703,0.00784088262692129,0.972584400794948,0.972584400794948
US0028241000,ABBOTT LABORATORIES,92,0.225656809800751,0.225656809800751,0.409583543545436,0.546111391393915
US00724F1012,ADOBE (NAS),92,0,0.290651485324727,0.396913485149426,0.50100041653958
US0079031078,ADVANCED MICRO DEVICES,78,0.179000198555639,0.179000198555639,0.241297385674884,0.241297385674884
US00817Y1082,AETNA DEAD - DELIST.29/11/18,72,0,0,1,1
US00846U1016,AGILENT TECHS.,83,0.0540550664918524,0.270275332459262,0.356256370083318,0.356256370083318
US0091581068,AIR PRDS.& CHEMS.,92,0.167377826025025,0.267722115778711,0.500844183101483,0.500844183101483
US00971T1016,AKAMAI TECHS.,54,0,0,0.759186411293971,0.759186411293971
US0173611064,ALLEGHENY EN. DEAD - DELIST.28/02/11,41,0,0,1,1
US01741R1023,ALLEGHENY TECHS.,70,0.106534623571438,0.133168279464298,0.710798290468567,0.710798290468567
US0184901025,ALLERGAN DEAD - DELIST.17/03/15,68,0.197095511609445,0.197095511609445,0.599256683352704,0.599256683352704
US0200021014,ALLSTATE ORD SHS,92,0,0,1,1
US02079K3059,ALPHABET A,59,0.0877062671495985,0.163544362335516,0.505340060368299,0.505340060368299
US0213461017,ALTABA DEAD - DELIST.12/10/19,70,0,0.0535790629767463,0.809109980481715,0.809109980481715
US0214411003,ALTERA DEAD - DELIST.28/12/15,62,0.156742836457192,0.235114254685788,0.0558498164337424,0.32796784827373
US02209S1033,ALTRIA GROUP,92,0.139884417381872,0.139884417381872,0.807915267433335,0.807915267433335
