year,month,bofaml_ea_hyld_oas_a,bofaml_us_hyld_oas_a,broad_eur,broadexea_usd_a,bund10y_a,bund1y_a,ea_gdpdef,ea_krippner,ea_rgdp,ea_wuxia,eurusd_a,fedfunds,sp500_a,stoxx50_a,sveny01_a,sveny10_a,us_gdpdef,us_krippner,us_rgdp,us_wuxia
1990,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.409925,8.2299995,582.83044,698.89496,7.927985952,8.164665122,413.53964,NaN,910.77655,7.949798333
1990,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.746332,8.2399998,580.07727,697.75397,8.091127777,8.414400607,413.90887,NaN,911.7887,7.797503471
1990,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.00312,8.2799997,582.4386,699.61755,8.285514702,8.507419758,414.32019,NaN,911.99799,7.950956348
1990,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.19552,8.2600002,582.43176,701.73389,8.335718413,8.686672082,414.70752,NaN,911.8808,8.136328768
1990,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.87648,8.1800003,585.88385,701.24615,8.269845742,8.678405783,415.01794,NaN,912.11023,7.772789909
1990,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.118969,8.29,588.71014,700.96448,8.026372159,8.433339323,415.37851,NaN,911.62988,7.668509364
1990,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.231756,8.1499996,588.61273,702.10999,7.895724507,8.448348985,415.52991,NaN,912.36194,7.530426219
1990,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.464239,8.1300001,580.06903,689.88232,7.762731881,8.753469253,415.91077,NaN,911.62335,7.554749018
1990,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.249451,8.1999998,575.47339,681.59125,7.785747914,8.940662283,416.22632,NaN,911.84387,7.510451732
1990,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.17239,8.1099997,572.70703,679.38043,7.603112331,8.749444144,416.48279,NaN,911.03723,7.338989995
1990,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.274513,7.8099999,575.35309,677.34949,7.335284915,8.416380952,416.59338,NaN,911.35315,7.190736581
1990,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.269693,7.3099999,579.52948,678.90741,7.10135333,8.133406886,416.82199,NaN,910.5257,6.757633871
1991,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.555405,6.9099998,578.48657,674.51715,6.77679788,8.210087149,417.36865,NaN,910.43799,6.389955334
1991,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.494293,6.25,589.3114,682.94128,6.421528987,7.994452017,417.63516,NaN,910.71826,6.103595166
1991,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.669043,6.1199999,591.99957,688.10925,6.53084476,8.226735598,417.81149,NaN,910.13672,5.759428578
1991,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.08713,5.9099998,593.92596,690.86481,6.353948008,8.181683161,418.01627,NaN,911.54413,5.560572749
1991,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.161011,5.7800002,593.47534,692.61011,6.198022773,8.26104866,418.38437,NaN,910.73712,5.542755888
1991,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.08333,5.9000001,593.56024,694.18103,6.421051722,8.440390319,418.6124,NaN,911.20996,5.529204234
1991,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.860826,5.8200002,593.99481,690.71924,6.324688157,8.391565811,418.84906,NaN,911.43494,5.454525394
1991,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.232199,5.6599998,596.45575,690.91614,5.869155803,8.114721904,419.10153,NaN,911.39117,5.208548947
