date,release_type,spx,vix,edcm1,edcm2,edcm3,edcm4,ffc1,ffc2,ffc3,ffc4,ffc5,fvc1,fvc2,fvc3,tuc1,tuc2,tuc3,tyc1,tyc2,tyc3,usc1,usc2,usc3,duration_10y,duration_2y,duration_5y,duration_30y,duration_3y,duration_7y,tyc1_yield,tyc2_yield,tuc1_yield,tuc2_yield,fvc1_yield,fvc2_yield,usc1_yield,usc2_yield,mpc1
27apr2011,Press Conference,.3743113559623124,-2.368758002560814,-.0049999999999955,-.0125000000000028,-.0125000000000028,-.0099999999999909,.0012499999999989,-.0049999999999955,0,-.0025000000000119,-.0024999999999977,-.12890625,-.12109375,,-.03125,-.03125,,-.078125,-.0625,,.046875,.0625,,8.305,1.917,4.691,16.397,2.92,6.325,-.0123517786561265,-.0098814229249012,-.016301512780386,-.016301512780386,-.0274794819867832,-.0258140588360691,.0056441902468393,.0075255869957857,-.0049999999
22jun2011,Press Conference,-.4951754115543464,1.485426008968613,-.0050000000000097,-.0049999999999955,-.0049999999999955,0,-.0024999999999977,0,0,0,0,.078125,.07421875,,.015625,.015625,,.078125,.078125,,.0625,.078125,,8.577,1.934,4.749,17.047,2.952,6.43,.0121500777604977,.0121500777604977,.0080791106514995,.0080791106514995,.0164508317540535,.0156282901663508,.0072869301620613,.0091086627025767,-.0093750004
02nov2011,Press Conference,.5407823046271337,-1.917404129793506,0,0,-.0050000000000097,-.0100000000000051,0,.0049999999999955,0,-.0049999999999955,0,-.015625,-.0234375,,.0078125,-.0078125,,-.0859375,-.09375,,-.25,-.21875,-.234375,8.842000000000001,1.989,4.883,18.836,2.932,6.62,-.0129814954682779,-.0141616314199396,.0039278531925591,-.0039278531925591,-.0031998771247184,-.0047998156870776,-.0282741461207872,-.0247398778556888,0
25jan2012,Press Conference,.2142678991164955,-1.412275936990774,-.0050000000000097,-.0049999999999955,-.0024999999999977,0,-.0024999999999977,0,0,.0049999999999955,.0049999999999955,.0703125,.09375,,.0078125,.046875,,.2734375,.296875,,.71875,.71875,0,8.919,1.927,4.833,19.466,2.959,6.627,.0412611287158594,.0447977968915045,.004054229372081,.0243253762324857,.014548417132216,.0193978895096214,.0805863886085884,.0805863886085884,0
25apr2012,Press Conference,.0839198115586008,-.1764705882353008,0,-.0050000000000097,-.0049999999999955,0,,-.0050000000000097,0,0,0,-.125,-.125,,-.015625,-.0234375,,-.21875,-.21875,,-.296875,-.328125,-.3125,8.929,1.928,4.82,19.461,2.957,6.602,-.0331338988185398,-.0331338988185398,-.0081042531120332,-.0121563796680498,-.0259336099585062,-.0259336099585062,-.0332484040766043,-.0367482360846679,-.0049999999
20jun2012,Press Conference,-.3803290288342533,-.4716981132075322,.0024999999999977,.0024999999999977,.0050000000000097,.0049999999999955,.0024999999999977,0,0,-.0050000000000097,-.0050000000000097,.0234375,0,,.0078125,.0078125,,.921875,-.15625,,.53125,-.53125,-.578125,9.125,1.943,4.877,20.192,2.971,6.698,.1376343684681995,-.0233278590624067,.0040208440555841,.0040208440555841,.0048057207299569,0,.0582191780821918,-.0582191780821918,.0074999998
13sep2012,Press Conference,.4140217189466661,-1.52883947185546,0,-.0049999999999955,-.0099999999999909,-.0150000000000006,0,.0050000000000097,-.0049999999999955,0,0,-.125,-.109375,,0,0,,-.3515625,-.3984375,,-.6875,-.765625,-.734375,9.186999999999999,1.962,4.896,20.308,2.913,6.743,-.0521374017499629,-.0590890553166246,0,0,-.025531045751634,-.0223396650326797,-.0748340045716774,-.0833378687275498,0
12dec2012,Press Conference,-.5801529905546803,2.060528010302642,-.0012499999999989,-.0024999999999977,0,0,,0,0,0,0,.0390625,.03125,,.015625,.01171875,,.125,.140625,,.21875,.21875,.34375,9.186,1.959,4.893,20.375,2.905,6.74,.0185459940652819,.0208642433234421,.0079760081674324,.0059820061255743,.0079833435520131,.0063866748416105,.023813411713477,.023813411713477,
20mar2013,Press Conference,.2096873635266075,-2.490118577075095,-.0024999999999977,.0024999999999977,0,.0050000000000097,,0,0,-.0049999999999955,0,.06640625,.0703125,,-.0078125,0,,.15625,,,.40625,.125,,9.019,1.94,4.863,19.53,2.968,6.673,.0234152555072681,,-.0040270618556701,0,.0136554081842484,.0144586674892042,.0450437964297594,.0138596296706952,
19jun2013,Press Conference,-1.021441478588828,4.368622448979607,.0050000000000097,.0099999999999909,.0200000000000102,.0250000000000057,0,.0030000000000001,0,-.0049999999999955,0,.55859375,.64453125,,.0390625,.06640625,-.01171875,2.5625,.953125,.890625,2.65625,.90625,.71875,9.097,1.943,4.838,19.608,2.969,6.642,.3858024691358025,.1434996988858777,.0201042202779207,.0341771744724653,.1154596424142208,.1332226643241009,.2919918654501484,.0996207540947565,0
