date,z_ea_unemp,z_ea_bcs_confind
04-May-2000,0,NaN
06-Jun-2000,-1.09674003741883,NaN
04-Jul-2000,1.09674003741881,NaN
01-Aug-2000,0,NaN
05-Sep-2000,0,NaN
03-Oct-2000,0,NaN
07-Nov-2000,1.09674003741881,NaN
05-Dec-2000,0,NaN
03-Jan-2001,0,NaN
31-Jan-2001,0,NaN
03-Apr-2001,-1.09674003741883,NaN
03-May-2001,-2.19348007483762,NaN
06-Jun-2001,-1.09674003741881,NaN
03-Jul-2001,0,NaN
01-Aug-2001,0,NaN
04-Sep-2001,0,NaN
02-Oct-2001,-1.09674003741881,NaN
06-Nov-2001,-1.09674003741881,NaN
04-Dec-2001,0,NaN
04-Jan-2002,0,NaN
05-Feb-2002,0,NaN
05-Mar-2002,-2.19348007483762,NaN
03-Apr-2002,0,NaN
30-Apr-2002,0,NaN
04-Jun-2002,-1.09674003741881,NaN
02-Jul-2002,0,NaN
06-Aug-2002,0,NaN
04-Sep-2002,0,NaN
02-Oct-2002,0,NaN
31-Oct-2002,NaN,2.45120391197398
05-Nov-2002,0,NaN
03-Dec-2002,1.09674003741881,NaN
07-Jan-2003,0,NaN
31-Jan-2003,NaN,-1.63413594131599
03-Feb-2003,1.09674003741881,NaN
28-Feb-2003,NaN,-0.817067970657995
04-Mar-2003,0,NaN
31-Mar-2003,NaN,0
01-Apr-2003,0,NaN
30-Apr-2003,NaN,-1.63413594131599
06-May-2003,-1.09674003741883,NaN
02-Jun-2003,NaN,-0.817067970657995
03-Jun-2003,0,NaN
30-Jun-2003,NaN,0.817067970657995
01-Jul-2003,0,NaN
31-Jul-2003,NaN,-3.26827188263198
05-Aug-2003,1.09674003741881,NaN
02-Sep-2003,0,NaN
30-Sep-2003,NaN,2.45120391197398
01-Oct-2003,-1.09674003741881,NaN
31-Oct-2003,NaN,0
05-Nov-2003,0,NaN
28-Nov-2003,NaN,0
02-Dec-2003,0,NaN
07-Jan-2004,NaN,-1.63413594131599
08-Jan-2004,0,NaN
30-Jan-2004,NaN,0
03-Feb-2004,0,NaN
27-Feb-2004,NaN,0
02-Mar-2004,0,NaN
31-Mar-2004,NaN,-0.817067970657995
01-Apr-2004,0,NaN
30-Apr-2004,NaN,1.63413594131599
04-May-2004,0,NaN
28-May-2004,NaN,0
02-Jun-2004,2.19348007483762,NaN
30-Jun-2004,NaN,0.817067970657995
01-Jul-2004,0,NaN
30-Jul-2004,NaN,0
03-Aug-2004,0,NaN
01-Sep-2004,0,NaN
30-Sep-2004,NaN,1.06218836185539
05-Oct-2004,0,NaN
29-Oct-2004,NaN,1.63413594131599
04-Nov-2004,-1.09674003741881,NaN
30-Nov-2004,NaN,0
01-Dec-2004,0,NaN
06-Jan-2005,NaN,-0.408533985328997
07-Jan-2005,0,NaN
31-Jan-2005,NaN,-1.22560195598699
01-Feb-2005,0,NaN
28-Feb-2005,NaN,-0.817067970657995
04-Mar-2005,-1.09674003741881,NaN
31-Mar-2005,NaN,0
01-Apr-2005,1.09674003741881,NaN
29-Apr-2005,NaN,0
03-May-2005,0,NaN
31-May-2005,NaN,-0.817067970657995
01-Jun-2005,0,NaN
30-Jun-2005,NaN,0.817067970657995
01-Jul-2005,-1.09674003741881,NaN
29-Jul-2005,NaN,0.817067970657995
02-Aug-2005,-1.09674003741883,NaN
01-Sep-2005,-1.09674003741881,NaN
30-Sep-2005,NaN,1.63413594131599
04-Oct-2005,0,NaN
28-Oct-2005,NaN,0
