year,month,day,pc1ff1_hf,sp500_hf,d_pconf
1999,2,3,0.00887518,0.14979,0
1999,3,30,-0.02960689,-0.20642,0
1999,5,18,0.11821717,-1.43559,0
1999,6,30,-0.10863178,1.60906,0
1999,8,24,0.00444077,0.57282,0
1999,10,5,0.07434156,-0.82928,0
1999,11,16,0.08824893,-0.41763,0
1999,12,21,0.0338096,0.47722,0
2000,2,2,-0.00210605,-0.4101,0
2000,3,21,-0.01074577,0.06116,0
2000,5,16,0.06866602,-0.5454,0
2000,6,28,-0.03045136,0.25302,0
2000,8,22,0.01699181,-0.12621,0
2000,10,3,0.04665709,-0.30266,0
2000,11,15,0.00495448,-0.66752,0
2000,12,19,0.01934559,-0.69114,0
2001,1,3,-0.20676303,4.07575,0
2001,1,31,-0.00531459,-0.62364,0
2001,3,20,-0.07326814,-0.67958,0
2001,4,18,-0.44587171,2.22956,0
2001,5,15,-0.17161679,0.40882,0
2001,6,27,0.09435017,-0.40319,0
2001,8,21,-0.03896491,-0.71223,0
2001,10,2,-0.06542525,-0.30724,0
2001,11,6,-0.20300723,0.94037,0
2001,12,11,-0.08083179,0.22721,0
2002,1,30,0.02975539,-0.12751,0
2002,3,19,-0.07747736,-0.38271,0
2002,5,7,-0.04395018,-0.37352,0
2002,6,26,0.0033037,-0.60479,0
2002,8,13,-0.11165728,-0.69761,0
2002,9,24,-0.01259224,-0.9571,0
2002,11,6,-0.12536406,-0.92593,0
2002,12,10,0.02275188,-0.33811,0
2003,1,29,0.05177513,0.16534,0
2003,3,18,-0.01001497,-0.50717,0
2003,5,6,-0.09037497,0.17834,0
2003,6,25,0.15046097,-0.27153,0
2003,8,12,-0.03742054,-0.10492,0
2003,9,16,-0.00050415,-0.18495,0
2003,10,28,-0.08857696,-0.05012,0
2003,12,9,0.03574144,-0.05813,0
2004,1,28,0.13457744,-0.9677,0
2004,3,16,-0.06096322,-0.07294,0
2004,5,4,0.00465405,0.36567,0
2004,6,30,-0.02232292,0.28122,0
2004,8,10,0.04755879,-0.2991,0
2004,9,21,-0.01579655,0.06393,0
2004,11,10,-0.03147177,0.08411,0
2004,12,14,-0.01577191,0.05833,0
2005,2,2,-0.01370416,0.00504,0
