year,month,pc1eon1_me_njt,stoxx50_me_njt,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
1999,1,-0.03244305,-1.44356899,0.00343001,-0.03587306,0.02741208,-0.05985513,0.00156468,-0.03400773,0.03324039,-0.06568344,-0.01885866,-0.01358439,0.02556173,-0.05800478
1999,2,0,0.17415741,0,0,-0.00526412,0.00526412,-0.0034156,0.0034156,-0.00469746,0.00469746,-0.00146256,0.00146256,-0.00326017,0.00326017
1999,3,-0.00244298,0.14332836,-0.00244298,-0,-0.00555376,0.00311078,-0.00482502,0.00238204,-0.00429485,0.00185187,-0.00353658,0.0010936,-0.00279311,0.00035013
1999,4,-0.00972605,0.05465677,-0.00266694,-0.00705911,-0.00651509,-0.00321096,-0.00909031,-0.00063574,-0.00318191,-0.00654414,-0.00974693,2.08799999999999e-05,-0.00146128,-0.00826477
1999,5,0.00593219,-0.38800092,0.00593219,0,0.01469389,-0.0087617,0.01250016,-0.00656797,0.01150691,-0.00557472,0.00892336,-0.00299117,0.00753048,-0.00159829
1999,6,-0.00538321,-0.32633045,0.001715,-0.00709821,0.00717212,-0.01255533,0.00196199,-0.0073452,0.00785678,-0.01323999,-0.00240022,-0.00298299,0.00586631,-0.01124952
1999,7,0.02255331,0.51253552,0.00133347,0.02121984,-0.00421535,0.02676866,0.00854154,0.01401177,-0.00986451,0.03241782,0.01723315,0.00532016,-0.00857856,0.03113187
1999,8,-0.0013876,-0.23559841,-0,-0.0013876,0.00642745,-0.00781505,0.00347662,-0.00486422,0.00611104,-0.00749864,0.00065344,-0.00204104,0.00434782,-0.00573542
1999,9,-0.04540354,0.56936632,-0.04540354,-0,-0.03991155,-0.00549199,-0.04859819,0.00319465,-0.02332907,-0.02207447,-0.04813975,0.00273621,-0.01270363,-0.03269991
1999,10,-0.16755533,-0.59418328,-0,-0.16755533,-0.06581776,-0.10173757,-0.1264832,-0.04107213,-0.01339233,-0.154163,-0.15501768,-0.01253765,0.00357517,-0.1711305
1999,11,0.05510843,0.56751257,0,0.05510843,0.01040047,0.04470796,0.03430251,0.02080592,-0.00563144,0.06073987,0.04786008,0.00724835,-0.00814123,0.06324966
1999,12,-0.00026669,0.24308875,-0.00026669,0,-0.00748099,0.0072143,-0.00498735,0.00472066,-0.00660353,0.00633684,-0.00229611,0.00202942,-0.00456256,0.00429587
2000,1,-0.01188535,-0.54553479,0,-0.01188535,0.01054677,-0.02243212,0.00090054,-0.01278589,0.01262763,-0.02451298,-0.00676861,-0.00511674,0.00967685,-0.0215622
2000,2,0.02468115,1.64447894,0,0.02468115,-0.03736578,0.06204693,-0.01190403,0.03658518,-0.04002224,0.06470339,0.00975919,0.01492196,-0.02967235,0.0543535
2000,3,-0.08137074,0.76771789,-0.08137074,-0,-0.06389056,-0.01748018,-0.08214045,0.00076971,-0.03499414,-0.0463766,-0.0841525,0.00278176,-0.0180369,-0.06333384
