year,month,pc1ff1_hf,sp500_hf,MP_pm,CBI_pm,MP_median,CBI_median,MP_q25,CBI_q25,MP_q75,CBI_q75,MP_q10,CBI_q10,MP_q90,CBI_q90
1999,2,0.00887518,0.14979,0,0.00887518,-0.0031238,0.01199898,0.00263859,0.00623659,-0.00689303,0.01576821,0.00643122,0.00244396,-0.00775348,0.01662866
1999,3,-0.02960689,-0.20642,-0,-0.02960689,-0.00438338,-0.02522351,-0.01732785,-0.01227904,0.00581439,-0.03542128,-0.02499694,-0.00460995,0.00944275,-0.03904964
1999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,5,0.11821717,-1.43559,0.11821717,0,0.13157704,-0.01335987,0.13488418,-0.01666701,0.10916749,0.00904968,0.12711023,-0.00889306,0.08883931,0.02937786
1999,6,-0.10863178,1.60906,-0.10863178,-0,-0.13554109,0.02690931,-0.1323744,0.02374262,-0.11729713,0.00866535,-0.12030564,0.01167386,-0.09786804,-0.01076374
1999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,8,0.00444077,0.57282,0,0.00444077,-0.02669552,0.03113629,-0.01315364,0.01759441,-0.03261527,0.03705604,-0.00279674,0.00723751,-0.03175904,0.03619981
1999,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,10,0.07434156,-0.82928,0.07434156,0,0.07903276,-0.0046912,0.08268597,-0.00834441,0.06434489,0.00999667,0.07904609,-0.00470453,0.05175135,0.02259021
1999,11,0.08824893,-0.41763,0.08824893,0,0.06520639,0.02304254,0.08167701,0.00657192,0.04317865,0.04507028,0.08698635,0.00126258,0.02969407,0.05855486
1999,12,0.0338096,0.47722,0,0.0338096,-0.00718522,0.04099482,0.01276681,0.02104279,-0.02078722,0.05459682,0.02562778,0.00818182,-0.02430646,0.05811606
2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,-0.00210605,-0.4101,-0,-0.00210605,0.01964879,-0.02175484,0.01026277,-0.01236882,0.02357789,-0.02568394,0.0029988,-0.00510485,0.02281402,-0.02492007
2000,3,-0.01074577,0.06116,-0.01074577,-0,-0.00846024,-0.00228553,-0.01024516,-0.00050061,-0.0058615,-0.00488427,-0.01071654,-2.923e-05,-0.00419289,-0.00655288
2000,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,5,0.06866602,-0.5454,0.06866602,0,0.06186475,0.00680127,0.0699611,-0.00129508,0.04651114,0.02215488,0.07034675,-0.00168073,0.03544912,0.0332169
2000,6,-0.03045136,0.25302,-0.03045136,-0,-0.02799811,-0.00245325,-0.03134987,0.00089851,-0.02127958,-0.00917178,-0.03133143,0.00088007,-0.01634508,-0.01410628
2000,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,8,0.01699181,-0.12621,0.01699181,0,0.01486697,0.00212484,0.01705784,-6.603e-05,0.01099672,0.00599509,0.01730198,-0.00031017,0.00828198,0.00870983
2000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,10,0.04665709,-0.30266,0.04665709,0,0.03860679,0.0080503,0.04556231,0.00109478,0.02762399,0.0190331,0.04697849,-0.0003214,0.02028314,0.02637395
