year,month,MP_median_fed,MP_median_ecb,us_wuxia,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
1999,2,-0.0031238,-0.00526412,4.846954577,712.74097,5.3154998,-11.394857,465.73508,938.69556,432.96631
1999,3,-0.00438338,-0.00555376,4.729021026,715.57135,5.235652,-8.4586201,466.49191,939.46313,433.04202
1999,4,0,-0.00651509,4.74413017,719.49646,5.0354548,-6.8037763,465.36121,939.24603,433.32172
1999,5,0.13157704,0.01469389,4.741674085,719.32471,4.7019048,-6.0877314,464.97452,939.53113,433.34344
1999,6,-0.13554109,0.00717212,4.926389087,718.71881,4.6722727,-3.7044713,465.18246,939.48297,433.34723
1999,7,0,-0.00421535,4.934898554,723.07501,4.804091,-3.4479051,465.31296,940.41907,433.50485
1999,8,-0.02669552,0.00642745,5.185065368,719.08722,4.8190908,-5.8551521,464.73819,940.39111,433.63373
1999,9,0,-0.03991155,5.172663769,718.51117,5.0427275,-4.8810048,463.74146,941.06592,433.90036
1999,10,0.07903276,-0.06581776,5.314920684,716.9881,4.9957142,-6.8203559,463.69061,941.66364,434.07422
1999,11,0.06520639,0.01040047,5.589182061,723.84692,5.0799999,-3.31797,463.17444,942.34125,434.18796
1999,12,-0.00718522,-0.00748099,5.826367953,726.52838,4.773478,-1.0935603,462.79437,942.82166,434.38333
2000,1,0,0.01054677,5.851752036,726.34534,4.7842855,-1.3479526,462.53979,941.96948,434.59192
2000,2,0.01964879,-0.03736578,5.849661457,723.45178,4.9023809,1.6768765,463.40753,942.49249,434.85968
2000,3,-0.00846024,-0.06389056,6.063026298,727.30627,5.3686957,3.6324251,463.01553,943.09937,435.2294
2000,4,0,0.02269354,6.162800907,728.58301,5.8447371,5.4667673,463.30283,944.25189,435.30356
2000,5,0.06186475,-0.06029866,6.623019905,725.59137,5.8978262,9.884737,465.16632,944.23676,435.45361
2000,6,-0.02799811,0.10962859,6.460700694,728.74957,6.1359091,5.2211156,464.95001,944.57098,435.73398
2000,7,0,0.01955526,6.40821255,729.48193,6.1233335,6.2301159,464.85754,943.97125,435.92831
2000,8,0.01486697,-0.04589478,6.389244609,730.33618,6.3613043,10.090691,464.90683,944.84174,435.97119
2000,9,0,-0.03088316,6.520552315,729.32092,6.4385715,13.696794,465.53519,944.54517,436.29916
2000,10,0.03860679,0.0282929,6.646752099,723.69281,7.2922726,15.666292,466.88171,945.17993,436.45334
2000,11,0.03617359,-0.00697085,6.43569011,722.41064,8.0881815,15.508883,467.93732,945.2179,436.59454
2000,12,0.04456148,-0.0006855,5.988954305,719.33636,9.0065002,10.856905,467.87912,944.75854,436.73233
2001,1,-0.28030101,0.01086818,5.042857607,719.63873,8.4631815,6.3781385,468.6402,945.02423,437.06781
2001,2,0,-0.00178258,4.761966604,717.38995,7.6075001,8.1608496,468.95569,944.70691,437.2247
2001,3,-0.00232893,0.06604082,4.295160606,707.74713,7.903182,9.5040712,470.6185,944.60852,437.31616
2001,4,-0.33548384,0.06280176,3.828809841,708.05139,8.5030003,11.434012,471.02371,945.36377,437.53714
2001,5,-0.10644559,-0.13167769,3.227612753,714.72058,7.6886954,13.460937,470.35715,945.85687,437.8212
2001,6,0.06752808,0.02732216,3.272158314,712.16437,8.0519047,15.882221,470.51367,945.11145,438.05817
2001,7,0,0.02886666,3.045688102,709.48114,8.2600002,15.016578,471.13437,944.90649,438.168
2001,8,0.01647085,0.04799334,2.832883985,707.17975,8.0530434,10.496222,470.28732,945.91876,438.28043
2001,9,0,0.02970158,2.172959627,696.36035,9.1876469,9.3207779,470.96136,944.41425,438.17392
2001,10,-0.01720318,0.04198749,1.574752388,698.14343,9.7965221,9.8924942,471.59079,944.92065,438.49078
