date,year,month,pc1eon1_me_njt,stoxx50_me_njt,bund1y_a,bund10y_a,stoxx50_a,bofaml_ea_hyld_oas_a,eurusd_a,broad_eur,ea_rgdp,ea_gdpdef
01-Jan-1999,1999,1,-0.03244305,-1.44356899,2.9105,3.9100001,816.37469,7.3835001,-14.905163,452.330916,1450.8535,439.76984
01-Feb-1999,1999,2,0,0.17415741,2.9260001,4.0475001,814.6145,7.5275002,-11.394857,450.8659286,1451.4546,439.78448
01-Mar-1999,1999,3,-0.00244298,0.14332836,2.963913,4.2569566,816.72577,7.347826,-8.4586201,449.4573765,1452.3947,439.8894
01-Apr-1999,1999,4,-0.00972605,0.05465677,2.6589999,4.0774999,821.10278,6.9909091,-6.8037763,448.16457,1451.8381,440.09155
01-May-1999,1999,5,0.00593219,-0.38800092,2.6221051,4.2489471,820.74731,6.8299999,-6.0877314,447.5516978,1452.0226,440.18695
01-Jun-1999,1999,6,-0.00538321,-0.32633045,2.7895238,4.6114287,822.9198,6.6059089,-3.7044713,445.6670178,1452.5833,440.2702
01-Jul-1999,1999,7,0.02255331,0.51253552,2.939091,4.9031816,825.4314,5.9613638,-3.4479051,445.597388,1453.1949,440.3414
01-Aug-1999,1999,8,-0.0013876,-0.23559841,3.1045454,5.0972729,821.33008,6.4277272,-5.8551521,447.0724089,1453.504,440.43231
01-Sep-1999,1999,9,-0.04540354,0.56936632,3.1527274,5.2736363,823.54175,6.2845454,-4.8810048,445.9681879,1453.0482,440.5094
01-Oct-1999,1999,10,-0.16755533,-0.59418328,3.5204761,5.498095,822.73517,6.0214286,-6.8203559,447.2552661,1454.7594,440.57626
01-Nov-1999,1999,11,0.05510843,0.56751257,3.5745454,5.2109089,833.26672,5.9686365,-3.31797,444.7814375,1454.2635,440.65213
01-Dec-1999,1999,12,-0.00026669,0.24308875,3.7276192,5.2838097,842.79736,5.505652,-1.0935603,442.8194316,1454.6606,440.78726
01-Jan-2000,2000,1,-0.01188535,-0.54553479,3.8480952,5.6733332,845.82544,5.3633332,-1.3479526,442.9387206,1455.2712,440.92389
01-Feb-2000,2000,2,0.02468115,1.64447894,4.0204763,5.6242857,853.47919,5.2919049,1.6768765,441.4372811,1455.9009,441.02533
01-Mar-2000,2000,3,-0.08137074,0.76771789,4.1560869,5.4321737,857.85138,5.4099998,3.6324251,439.8023008,1455.7936,441.16196
01-Apr-2000,2000,4,0.00844771,-0.61104878,4.2188888,5.3366666,854.71216,6.0173683,5.4667673,438.3650316,1456.4362,441.2287
01-May-2000,2000,5,-0.00034184,1.98925877,4.7090907,5.5081816,855.00366,6.6926088,9.884737,436.500763,1456.5095,441.36536
01-Jun-2000,2000,6,0.15807658,-1.01204578,4.8190908,5.3145456,857.06409,6.9731817,5.2211156,440.0480313,1456.7025,441.60849
01-Jul-2000,2000,7,0.01753883,-0.35683763,4.9642859,5.3885713,856.16437,7.2623811,6.2301159,439.4202211,1456.8094,441.84286
01-Aug-2000,2000,8,-0.08101364,0.17825452,5.1173911,5.3065219,854.70752,7.6621737,10.090691,436.6405254,1457.059,442.02362
01-Sep-2000,2000,9,-0.03153834,0.50002942,5.0685716,5.3314285,854.29791,7.8680954,13.696794,434.5881188,1457.3367,442.1467
01-Oct-2000,2000,10,0.07737495,0.34389289,5.0752382,5.2861905,849.53735,9.4463634,15.666292,433.4541868,1457.5094,442.07437
01-Nov-2000,2000,11,-0.02156421,-0.12609123,5.0549998,5.25,850.95026,10.488182,15.508883,434.2375829,1458.1042,442.20239
01-Dec-2000,2000,12,0.02158205,0.379688,4.7805262,4.9978948,847.63422,11.4655,10.856905,437.7390906,1458.2654,442.4574
01-Jan-2001,2001,1,0.01010246,-0.19244711,4.4731817,4.8968182,846.11469,10.308182,6.3781385,441.7393779,1459.2,442.7764
01-Feb-2001,2001,2,0.01660343,0.33362751,4.5165,4.8745003,841.7041,9.6595001,8.1608496,440.8911963,1458.361,443.1037
01-Mar-2001,2001,3,0.09671277,-0.58506954,4.3936362,4.7786365,834.21661,10.983182,9.5040712,441.1828126,1458.8489,443.36407
01-Apr-2001,2001,4,0.18509346,0.98407921,4.4294739,4.9699998,836.69189,11.940001,11.434012,440.6841191,1458.1395,443.5759
01-May-2001,2001,5,-0.21721537,0.76324528,4.4740911,5.2081819,840.76862,10.263913,13.460937,438.7138547,1459.0493,443.82037
01-Jun-2001,2001,6,0.05030898,-0.07171496,4.2776189,5.1885715,836.35608,11.191428,15.882221,437.2607413,1459.3906,443.98361
01-Jul-2001,2001,7,0.04360814,-0.23365763,4.2704544,5.2040911,830.30902,12.144091,15.016578,438.477286,1458.5594,444.17313
01-Aug-2001,2001,8,0.02543339,-1.16708815,4.070435,5.0278263,826.4411,12.235652,10.496222,441.6186486,1459.3875,444.36816
01-Sep-2001,2001,9,0.01658983,-0.70821535,3.7079999,5.0500002,809.22119,13.936471,9.3207779,442.5445255,1458.9415,444.60635
01-Oct-2001,2001,10,0.10911758,0.41590751,3.3182609,4.827826,814.30151,15.371305,9.8924942,442.6402307,1458.8748,444.86923
01-Nov-2001,2001,11,0.02851834,-0.51717385,3.1531818,4.6840911,820.89612,13.741364,11.848834,440.9155302,1459.3521,445.07965
01-Dec-2001,2001,12,0.02949904,-0.36411508,3.2811763,4.9176469,821.78821,14.1255,11.390228,441.4372811,1459.1654,445.30649
01-Jan-2002,2002,1,0.02064142,0.02256732,3.4568181,5.005909,821.18201,12.057727,12.421265,440.9398581,1459.1372,445.63995
01-Feb-2002,2002,2,0.03254447,0.73011999,3.5664999,5.0695,817.10327,12.5065,13.923345,440.1584134,1459.6257,445.79428
01-Mar-2002,2002,3,0.01260563,0.20327803,3.7739999,5.303,822.73663,11.7935,13.26358,440.329877,1459.2286,445.91449
01-Apr-2002,2002,4,-0.01416075,-0.14846166,3.7971427,5.2985716,820.30536,11.159546,12.125552,440.6719247,1459.9524,445.98715
01-May-2002,2002,5,0.04715893,-0.2537061,3.8927274,5.3227272,816.04816,11.436522,8.6706839,442.9506417,1459.8616,446.10953
01-Jun-2002,2002,6,0.0057496,-0.28223068,3.8,5.164,805.2251,10.4865,4.5771446,445.8871928,1459.6086,446.29306
01-Jul-2002,2002,7,-0.00793278,-0.23717285,3.5782609,5.0152173,793.80176,11.58913,0.79194993,448.0513581,1460.1373,446.58853
01-Aug-2002,2002,8,0.00227201,-0.52637732,3.355,4.7459092,789.9231,12.28,2.2508533,447.5061501,1460.3843,446.83981
01-Sep-2002,2002,9,-0.02366379,-0.88099301,3.1533334,4.5561905,780.18195,12.330953,1.9424347,447.7677665,1460.0564,447.03247
01-Oct-2002,2002,10,0.03071983,-0.18462331,3.0434783,4.6552172,777.54456,13.462608,1.9083961,448.2550472,1460.5817,447.15173
01-Nov-2002,2002,11,0.02778629,-1.60454961,2.9380953,4.6785712,784.69214,10.794762,-0.13360102,449.0208168,1461.0081,447.26785
01-Dec-2002,2002,12,-0.04331595,-0.89127732,2.7927778,4.5244446,781.77924,10.305715,-1.7967193,450.1253073,1459.6602,447.41452
01-Jan-2003,2003,1,0.02437889,1.23744907,2.6027272,4.3613634,777.20612,8.5649996,-6.0225792,452.9044796,1461.1271,447.65439
01-Feb-2003,2003,2,0.02010775,-1.40471361,2.4060001,4.1719999,768.25342,8.1359997,-7.4441915,454.2762726,1460.5137,447.84351
01-Mar-2003,2003,3,0.04343564,-1.38558258,2.3509524,4.2295237,764.20782,8.4580956,-7.7444906,454.9763179,1460.0123,448.04349
01-Apr-2003,2003,4,0.02058424,-0.23679494,2.3945,4.3845,772.86511,7.0647621,-8.1277599,455.1347379,1460.0793,448.1936
01-May-2003,2003,5,0.03846894,-1.12156217,2.1800001,4.0647621,774.13629,6,-14.671706,458.7311668,1460.0548,448.38443
01-Jun-2003,2003,6,-0.05591729,-0.93779993,1.9571428,3.8880954,780.09314,5.409524,-15.3762,459.1375475,1460.2415,448.66098
01-Jul-2003,2003,7,0.01414944,0.17259215,2.0443478,4.1943479,780.77399,5.1799998,-12.851243,457.6667826,1460.3386,449.01889
01-Aug-2003,2003,8,0,0,2.2685714,4.3299999,783.34436,5.0290475,-10.769048,456.4868889,1460.7434,449.23285
01-Sep-2003,2003,9,-0.00494854,-0.15110905,2.2268181,4.3968182,784.47699,4.3818183,-11.504089,456.4139836,1460.9139,449.34842
01-Oct-2003,2003,10,0.0142864,-0.77918705,2.2686956,4.4365215,783.31775,4.0586958,-15.62958,458.4559232,1461.6271,449.28085
01-Nov-2003,2003,11,0.00453532,0.10115685,2.3625,4.5580001,787.0141,3.661,-15.704845,458.4967479,1461.3568,449.28134
01-Dec-2003,2003,12,-0.00935051,-0.46528059,2.3231578,4.5105262,790.04785,3.7463636,-20.574959,461.422903,1461.4249,449.37396
01-Jan-2004,2004,1,-0.00570874,0.32201916,2.1409523,4.380476,795.24811,3.7009523,-23.211382,462.5266888,1462.0782,449.66605
