date,year,month,pc1eon1_me_njt,stoxx50_me_njt,ea_wuxia,bund1y_a,stoxx50_a,bofaml_ea_hyld_oas_a,eurusd_a,broadexea_usd_a,ea_rgdp,ea_gdpdef
01-Jan-1999,1999,1,-0.03244305,-1.44356899,3.137,2.9105,816.37469,7.3835001,-14.905163,464.99823,1450.8535,439.76984
01-Feb-1999,1999,2,0,0.17415741,3.118,2.9260001,814.6145,7.5275002,-11.394857,465.73508,1451.4546,439.78448
01-Mar-1999,1999,3,-0.00244298,0.14332836,2.925217391,2.963913,816.72577,7.347826,-8.4586201,466.49191,1452.3947,439.8894
01-Apr-1999,1999,4,-0.00972605,0.05465677,2.709090909,2.6589999,821.10278,6.9909091,-6.8037763,465.36121,1451.8381,440.09155
01-May-1999,1999,5,0.00593219,-0.38800092,2.550952381,2.6221051,820.74731,6.8299999,-6.0877314,464.97452,1452.0226,440.18695
01-Jun-1999,1999,6,-0.00538321,-0.32633045,2.563181818,2.7895238,822.9198,6.6059089,-3.7044713,465.18246,1452.5833,440.2702
01-Jul-1999,1999,7,0.02255331,0.51253552,2.520909091,2.939091,825.4314,5.9613638,-3.4479051,465.31296,1453.1949,440.3414
01-Aug-1999,1999,8,-0.0013876,-0.23559841,2.442727273,3.1045454,821.33008,6.4277272,-5.8551521,464.73819,1453.504,440.43231
01-Sep-1999,1999,9,-0.04540354,0.56936632,2.433636364,3.1527274,823.54175,6.2845454,-4.8810048,463.74146,1453.0482,440.5094
01-Oct-1999,1999,10,-0.16755533,-0.59418328,2.501904762,3.5204761,822.73517,6.0214286,-6.8203559,463.69061,1454.7594,440.57626
01-Nov-1999,1999,11,0.05510843,0.56751257,2.935454545,3.5745454,833.26672,5.9686365,-3.31797,463.17444,1454.2635,440.65213
01-Dec-1999,1999,12,-0.00026669,0.24308875,3.041818182,3.7276192,842.79736,5.505652,-1.0935603,462.79437,1454.6606,440.78726
01-Jan-2000,2000,1,-0.01188535,-0.54553479,3.042857143,3.8480952,845.82544,5.3633332,-1.3479526,462.53979,1455.2712,440.92389
01-Feb-2000,2000,2,0.02468115,1.64447894,3.275714286,4.0204763,853.47919,5.2919049,1.6768765,463.40753,1455.9009,441.02533
01-Mar-2000,2000,3,-0.08137074,0.76771789,3.510434783,4.1560869,857.85138,5.4099998,3.6324251,463.01553,1455.7936,441.16196
01-Apr-2000,2000,4,0.00844771,-0.61104878,3.685,4.2188888,854.71216,6.0173683,5.4667673,463.30283,1456.4362,441.2287
01-May-2000,2000,5,-0.00034184,1.98925877,3.92,4.7090907,855.00366,6.6926088,9.884737,465.16632,1456.5095,441.36536
01-Jun-2000,2000,6,0.15807658,-1.01204578,4.294545455,4.8190908,857.06409,6.9731817,5.2211156,464.95001,1456.7025,441.60849
01-Jul-2000,2000,7,0.01753883,-0.35683763,4.308571429,4.9642859,856.16437,7.2623811,6.2301159,464.85754,1456.8094,441.84286
01-Aug-2000,2000,8,-0.08101364,0.17825452,4.419130435,5.1173911,854.70752,7.6621737,10.090691,464.90683,1457.059,442.02362
01-Sep-2000,2000,9,-0.03153834,0.50002942,4.59047619,5.0685716,854.29791,7.8680954,13.696794,465.53519,1457.3367,442.1467
01-Oct-2000,2000,10,0.07737495,0.34389289,4.762727273,5.0752382,849.53735,9.4463634,15.666292,466.88171,1457.5094,442.07437
01-Nov-2000,2000,11,-0.02156421,-0.12609123,4.829090909,5.0549998,850.95026,10.488182,15.508883,467.93732,1458.1042,442.20239
01-Dec-2000,2000,12,0.02158205,0.379688,4.826842105,4.7805262,847.63422,11.4655,10.856905,467.87912,1458.2654,442.4574
01-Jan-2001,2001,1,0.01010246,-0.19244711,4.755909091,4.4731817,846.11469,10.308182,6.3781385,468.6402,1459.2,442.7764
01-Feb-2001,2001,2,0.01660343,0.33362751,4.9925,4.5165,841.7041,9.6595001,8.1608496,468.95569,1458.361,443.1037
01-Mar-2001,2001,3,0.09671277,-0.58506954,4.781363636,4.3936362,834.21661,10.983182,9.5040712,470.6185,1458.8489,443.36407
01-Apr-2001,2001,4,0.18509346,0.98407921,5.064210526,4.4294739,836.69189,11.940001,11.434012,471.02371,1458.1395,443.5759
01-May-2001,2001,5,-0.21721537,0.76324528,4.653636364,4.4740911,840.76862,10.263913,13.460937,470.35715,1459.0493,443.82037
01-Jun-2001,2001,6,0.05030898,-0.07171496,4.53952381,4.2776189,836.35608,11.191428,15.882221,470.51367,1459.3906,443.98361
01-Jul-2001,2001,7,0.04360814,-0.23365763,4.505454545,4.2704544,830.30902,12.144091,15.016578,471.13437,1458.5594,444.17313
01-Aug-2001,2001,8,0.02543339,-1.16708815,4.491304348,4.070435,826.4411,12.235652,10.496222,470.28732,1459.3875,444.36816
01-Sep-2001,2001,9,0.01658983,-0.70821535,3.9865,3.7079999,809.22119,13.936471,9.3207779,470.96136,1458.9415,444.60635
01-Oct-2001,2001,10,0.10911758,0.41590751,3.971304348,3.3182609,814.30151,15.371305,9.8924942,471.59079,1458.8748,444.86923
01-Nov-2001,2001,11,0.02851834,-0.51717385,3.507272727,3.1531818,820.89612,13.741364,11.848834,471.69006,1459.3521,445.07965
01-Dec-2001,2001,12,0.02949904,-0.36411508,3.338888889,3.2811763,821.78821,14.1255,11.390228,471.78793,1459.1654,445.30649
01-Jan-2002,2002,1,0.02064142,0.02256732,3.293636364,3.4568181,821.18201,12.057727,12.421265,473.07977,1459.1372,445.63995
01-Feb-2002,2002,2,0.03254447,0.73011999,3.283,3.5664999,817.10327,12.5065,13.923345,473.39386,1459.6257,445.79428
01-Mar-2002,2002,3,0.01260563,0.20327803,3.264,3.7739999,822.73663,11.7935,13.26358,472.83057,1459.2286,445.91449
01-Apr-2002,2002,4,-0.01416075,-0.14846166,3.316190476,3.7971427,820.30536,11.159546,12.125552,472.69012,1459.9524,445.98715
01-May-2002,2002,5,0.04715893,-0.2537061,3.31,3.8927274,816.04816,11.436522,8.6706839,472.00833,1459.8616,446.10953
01-Jun-2002,2002,6,0.0057496,-0.28223068,3.3485,3.8,805.2251,10.4865,4.5771446,471.64371,1459.6086,446.29306
01-Jul-2002,2002,7,-0.00793278,-0.23717285,3.30173913,3.5782609,793.80176,11.58913,0.79194993,470.82559,1460.1373,446.58853
01-Aug-2002,2002,8,0.00227201,-0.52637732,3.292727273,3.355,789.9231,12.28,2.2508533,471.92517,1460.3843,446.83981
01-Sep-2002,2002,9,-0.02366379,-0.88099301,3.318571429,3.1533334,780.18195,12.330953,1.9424347,472.86154,1460.0564,447.03247
01-Oct-2002,2002,10,0.03071983,-0.18462331,3.300434783,3.0434783,777.54456,13.462608,1.9083961,473.78607,1460.5817,447.15173
01-Nov-2002,2002,11,0.02778629,-1.60454961,3.304285714,2.9380953,784.69214,10.794762,-0.13360102,473.00174,1461.0081,447.26785
01-Dec-2002,2002,12,-0.04331595,-0.89127732,3.0945,2.7927778,781.77924,10.305715,-1.7967193,472.75967,1459.6602,447.41452
01-Jan-2003,2003,1,0.02437889,1.23744907,2.786818182,2.6027272,777.20612,8.5649996,-6.0225792,472.24036,1461.1271,447.65439
01-Feb-2003,2003,2,0.02010775,-1.40471361,2.7635,2.4060001,768.25342,8.1359997,-7.4441915,472.44461,1460.5137,447.84351
01-Mar-2003,2003,3,0.04343564,-1.38558258,2.749047619,2.3509524,764.20782,8.4580956,-7.7444906,471.89206,1460.0123,448.04349
01-Apr-2003,2003,4,0.02058424,-0.23679494,2.5605,2.3945,772.86511,7.0647621,-8.1277599,470.98019,1460.0793,448.1936
01-May-2003,2003,5,0.03846894,-1.12156217,2.557142857,2.1800001,774.13629,6,-14.671706,468.04047,1460.0548,448.38443
01-Jun-2003,2003,6,-0.05591729,-0.93779993,2.213333333,1.9571428,780.09314,5.409524,-15.3762,467.57431,1460.2415,448.66098
01-Jul-2003,2003,7,0.01414944,0.17259215,2.07826087,2.0443478,780.77399,5.1799998,-12.851243,468.27603,1460.3386,449.01889
01-Aug-2003,2003,8,0,0,2.098095238,2.2685714,783.34436,5.0290475,-10.769048,469.36966,1460.7434,449.23285
01-Sep-2003,2003,9,-0.00494854,-0.15110905,2.020909091,2.2268181,784.47699,4.3818183,-11.504089,468.2251,1460.9139,449.34842
01-Oct-2003,2003,10,0.0142864,-0.77918705,2.014782609,2.2686956,783.31775,4.0586958,-15.62958,466.5206,1461.6271,449.28085
01-Nov-2003,2003,11,0.00453532,0.10115685,1.973,2.3625,787.0141,3.661,-15.704845,466.31332,1461.3568,449.28134
01-Dec-2003,2003,12,-0.00935051,-0.46528059,2.056666667,2.3231578,790.04785,3.7463636,-20.574959,465.75311,1461.4249,449.37396
01-Jan-2004,2004,1,-0.00570874,0.32201916,2.021428571,2.1409523,795.24811,3.7009523,-23.211382,464.18277,1462.0782,449.66605
01-Feb-2004,2004,2,-0.00839319,-0.08221407,2.0315,2.0915,796.36731,3.7674999,-23.47389,464.81427,1461.7589,449.86993
01-Mar-2004,2004,3,0.0393093,0.24664537,2.005652174,1.9682609,794.72235,3.6704347,-20.38624,465.3902,1462.0543,450.073
01-Apr-2004,2004,4,0.07296493,-0.37845871,2.078,2.096,795.8894,3.3380952,-18.103701,465.87906,1462.3279,450.26825
01-May-2004,2004,5,0.0106747,-0.37566942,2.015238095,2.2461905,791.14154,3.7066667,-18.286758,467.92712,1462.6942,450.4278
01-Jun-2004,2004,6,-0.01047553,0.16367397,2.027727273,2.350909,793.45068,3.5513637,-19.375374,466.92465,1462.4937,450.577
01-Jul-2004,2004,7,0.00049905,-0.2621215,2.067727273,2.3031819,791.20575,3.600909,-20.418367,466.18817,1463.1748,450.71832
01-Aug-2004,2004,8,0.0006859,0.05590263,2.040454545,2.24,788.10339,3.5863636,-19.683086,466.19971,1462.5323,450.8736
01-Sep-2004,2004,9,0.01226794,-0.1622594,2.044736,2.3131819,791.88269,3.3004546,-20.028341,465.78909,1462.6295,451.00568
01-Oct-2004,2004,10,-0.01174128,-0.06097013,2.135764,2.2657142,793.53162,3.2642858,-22.22086,464.40454,1463.3969,451.16254
01-Nov-2004,2004,11,-0.00543329,-0.07725479,2.168105,2.2522726,796.64539,3.0245454,-26.162378,461.93207,1463.1857,451.29999
01-Dec-2004,2004,12,0.01333335,-0.34658875,2.07533,2.2128572,798.13678,2.8722727,-29.319315,461.29993,1463.2148,451.45374
