date,year,month,pc1eon1_me_njt,stoxx50_me_njt,sveny01_a,sveny10_a,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
01-Jan-1999,1999,1,-0.03244305,-1.44356899,4.644622202,5.074780739,712.95953,5.546,-14.905163,464.99823,938.18268,432.91782
01-Feb-1999,1999,2,0,0.17415741,4.805626553,5.337962498,712.74097,5.3154998,-11.394857,465.73508,938.69556,432.96631
01-Mar-1999,1999,3,-0.00244298,0.14332836,4.903232249,5.576027532,715.57135,5.235652,-8.4586201,466.49191,939.46313,433.04202
01-Apr-1999,1999,4,-0.00972605,0.05465677,4.808044641,5.496256798,719.49646,5.0354548,-6.8037763,465.36121,939.24603,433.32172
01-May-1999,1999,5,0.00593219,-0.38800092,4.994379495,5.813206348,719.32471,4.7019048,-6.0877314,464.97452,939.53113,433.34344
01-Jun-1999,1999,6,-0.00538321,-0.32633045,5.282749062,6.156320486,718.71881,4.6722727,-3.7044713,465.18246,939.48297,433.34723
01-Jul-1999,1999,7,0.02255331,0.51253552,5.247086576,6.082001776,723.07501,4.804091,-3.4479051,465.31296,940.41907,433.50485
01-Aug-1999,1999,8,-0.0013876,-0.23559841,5.399227443,6.263761401,719.08722,4.8190908,-5.8551521,464.73819,940.39111,433.63373
01-Sep-1999,1999,9,-0.04540354,0.56936632,5.431649721,6.297147367,718.51117,5.0427275,-4.8810048,463.74146,941.06592,433.90036
01-Oct-1999,1999,10,-0.16755533,-0.59418328,5.585341931,6.494520807,716.9881,4.9957142,-6.8203559,463.69061,941.66364,434.07422
01-Nov-1999,1999,11,0.05510843,0.56751257,5.64762699,6.310267314,723.84692,5.0799999,-3.31797,463.17444,942.34125,434.18796
01-Dec-1999,1999,12,-0.00026669,0.24308875,5.89660074,6.538049368,726.52838,4.773478,-1.0935603,462.79437,942.82166,434.38333
01-Jan-2000,2000,1,-0.01188535,-0.54553479,6.146298091,6.767735984,726.34534,4.7842855,-1.3479526,462.53979,941.96948,434.59192
01-Feb-2000,2000,2,0.02468115,1.64447894,6.297824474,6.596823257,723.45178,4.9023809,1.6768765,463.40753,942.49249,434.85968
01-Mar-2000,2000,3,-0.08137074,0.76771789,6.318598577,6.395448655,727.30627,5.3686957,3.6324251,463.01553,943.09937,435.2294
01-Apr-2000,2000,4,0.00844771,-0.61104878,6.277444796,6.157953294,728.58301,5.8447371,5.4667673,463.30283,944.25189,435.30356
01-May-2000,2000,5,-0.00034184,1.98925877,6.692184593,6.547722433,725.59137,5.8978262,9.884737,465.16632,944.23676,435.45361
01-Jun-2000,2000,6,0.15807658,-1.01204578,6.477692173,6.220471901,728.74957,6.1359091,5.2211156,464.95001,944.57098,435.73398
01-Jul-2000,2000,7,0.01753883,-0.35683763,6.368311688,6.135220026,729.48193,6.1233335,6.2301159,464.85754,943.97125,435.92831
01-Aug-2000,2000,8,-0.08101364,0.17825452,6.331840745,5.95592062,730.33618,6.3613043,10.090691,464.90683,944.84174,435.97119
01-Sep-2000,2000,9,-0.03153834,0.50002942,6.200956319,5.985937868,729.32092,6.4385715,13.696794,465.53519,944.54517,436.29916
01-Oct-2000,2000,10,0.07737495,0.34389289,6.171499139,5.888724697,723.69281,7.2922726,15.666292,466.88171,945.17993,436.45334
01-Nov-2000,2000,11,-0.02156421,-0.12609123,6.137963858,5.826641214,722.41064,8.0881815,15.508883,467.93732,945.2179,436.59454
01-Dec-2000,2000,12,0.02158205,0.379688,5.665045117,5.412900542,719.33636,9.0065002,10.856905,467.87912,944.75854,436.73233
01-Jan-2001,2001,1,0.01010246,-0.19244711,4.961435891,5.37962533,719.63873,8.4631815,6.3781385,468.6402,945.02423,437.06781
01-Feb-2001,2001,2,0.01660343,0.33362751,4.756465787,5.350810813,717.38995,7.6075001,8.1608496,468.95569,944.70691,437.2247
