date,year,month,pc1ff1_hf,sp500_hf,us_wuxia,sveny01_a,sp500_a,bofaml_us_hyld_oas_a,eurusd_a,broadexea_usd_a,us_rgdp,us_gdpdef
01-Jan-1999,1999,1,0,0,4.758663892,4.644622202,712.95953,5.546,-14.905163,464.99823,938.18268,432.91782
01-Feb-1999,1999,2,0.00887518,0.14979,4.846954577,4.805626553,712.74097,5.3154998,-11.394857,465.73508,938.69556,432.96631
01-Mar-1999,1999,3,-0.02960689,-0.20642,4.729021026,4.903232249,715.57135,5.235652,-8.4586201,466.49191,939.46313,433.04202
01-Apr-1999,1999,4,0,0,4.74413017,4.808044641,719.49646,5.0354548,-6.8037763,465.36121,939.24603,433.32172
01-May-1999,1999,5,0.11821717,-1.43559,4.741674085,4.994379495,719.32471,4.7019048,-6.0877314,464.97452,939.53113,433.34344
01-Jun-1999,1999,6,-0.10863178,1.60906,4.926389087,5.282749062,718.71881,4.6722727,-3.7044713,465.18246,939.48297,433.34723
01-Jul-1999,1999,7,0,0,4.934898554,5.247086576,723.07501,4.804091,-3.4479051,465.31296,940.41907,433.50485
01-Aug-1999,1999,8,0.00444077,0.57282,5.185065368,5.399227443,719.08722,4.8190908,-5.8551521,464.73819,940.39111,433.63373
01-Sep-1999,1999,9,0,0,5.172663769,5.431649721,718.51117,5.0427275,-4.8810048,463.74146,941.06592,433.90036
01-Oct-1999,1999,10,0.07434156,-0.82928,5.314920684,5.585341931,716.9881,4.9957142,-6.8203559,463.69061,941.66364,434.07422
01-Nov-1999,1999,11,0.08824893,-0.41763,5.589182061,5.64762699,723.84692,5.0799999,-3.31797,463.17444,942.34125,434.18796
01-Dec-1999,1999,12,0.0338096,0.47722,5.826367953,5.89660074,726.52838,4.773478,-1.0935603,462.79437,942.82166,434.38333
01-Jan-2000,2000,1,0,0,5.851752036,6.146298091,726.34534,4.7842855,-1.3479526,462.53979,941.96948,434.59192
01-Feb-2000,2000,2,-0.00210605,-0.4101,5.849661457,6.297824474,723.45178,4.9023809,1.6768765,463.40753,942.49249,434.85968
01-Mar-2000,2000,3,-0.01074577,0.06116,6.063026298,6.318598577,727.30627,5.3686957,3.6324251,463.01553,943.09937,435.2294
01-Apr-2000,2000,4,0,0,6.162800907,6.277444796,728.58301,5.8447371,5.4667673,463.30283,944.25189,435.30356
01-May-2000,2000,5,0.06866602,-0.5454,6.623019905,6.692184593,725.59137,5.8978262,9.884737,465.16632,944.23676,435.45361
01-Jun-2000,2000,6,-0.03045136,0.25302,6.460700694,6.477692173,728.74957,6.1359091,5.2211156,464.95001,944.57098,435.73398
01-Jul-2000,2000,7,0,0,6.40821255,6.368311688,729.48193,6.1233335,6.2301159,464.85754,943.97125,435.92831
01-Aug-2000,2000,8,0.01699181,-0.12621,6.389244609,6.331840745,730.33618,6.3613043,10.090691,464.90683,944.84174,435.97119
01-Sep-2000,2000,9,0,0,6.520552315,6.200956319,729.32092,6.4385715,13.696794,465.53519,944.54517,436.29916
01-Oct-2000,2000,10,0.04665709,-0.30266,6.646752099,6.171499139,723.69281,7.2922726,15.666292,466.88171,945.17993,436.45334
01-Nov-2000,2000,11,0.00495448,-0.66752,6.43569011,6.137963858,722.41064,8.0881815,15.508883,467.93732,945.2179,436.59454
01-Dec-2000,2000,12,0.01934559,-0.69114,5.988954305,5.665045117,719.33636,9.0065002,10.856905,467.87912,944.75854,436.73233
01-Jan-2001,2001,1,-0.21207762,3.45211,5.042857607,4.961435891,719.63873,8.4631815,6.3781385,468.6402,945.02423,437.06781
01-Feb-2001,2001,2,0,0,4.761966604,4.756465787,717.38995,7.6075001,8.1608496,468.95569,944.70691,437.2247
01-Mar-2001,2001,3,-0.07326814,-0.67958,4.295160606,4.383390373,707.74713,7.903182,9.5040712,470.6185,944.60852,437.31616
01-Apr-2001,2001,4,-0.44587171,2.22956,3.828809841,4.089875849,708.05139,8.5030003,11.434012,471.02371,945.36377,437.53714
01-May-2001,2001,5,-0.17161679,0.40882,3.227612753,3.940083179,714.72058,7.6886954,13.460937,470.35715,945.85687,437.8212
01-Jun-2001,2001,6,0.09435017,-0.40319,3.272158314,3.752456725,712.16437,8.0519047,15.882221,470.51367,945.11145,438.05817
01-Jul-2001,2001,7,0,0,3.045688102,3.678227642,709.48114,8.2600002,15.016578,471.13437,944.90649,438.168
01-Aug-2001,2001,8,-0.03896491,-0.71223,2.832883985,3.437116119,707.17975,8.0530434,10.496222,470.28732,945.91876,438.28043
01-Sep-2001,2001,9,0,0,2.172959627,2.793841176,696.36035,9.1876469,9.3207779,470.96136,944.41425,438.17392
01-Oct-2001,2001,10,-0.06542525,-0.30724,1.574752388,2.295304545,698.14343,9.7965221,9.8924942,471.59079,944.92065,438.49078
01-Nov-2001,2001,11,-0.20300723,0.94037,1.133218821,2.173005,702.98401,8.7940912,11.848834,471.69006,944.82898,438.54504
01-Dec-2001,2001,12,-0.08083179,0.22721,0.674666983,2.17788,704.30334,8.2945004,11.390228,471.78793,946.56586,438.57559
01-Jan-2002,2002,1,0.02975539,-0.12751,0.953370119,2.102952381,703.83386,8.1540909,12.421265,473.07977,946.63086,438.72305
01-Feb-2002,2002,2,0,0,0.967124991,2.178826316,700.37665,8.1029997,13.923345,473.39386,945.9967,438.86353
01-Mar-2002,2002,3,-0.07747736,-0.38271,1.397097004,2.59315,705.0498,7.3410001,13.26358,472.83057,946.52252,439.01062
01-Apr-2002,2002,4,0,0,0.932365917,2.455736364,701.37726,7.159091,12.125552,472.69012,946.82294,439.19113
01-May-2002,2002,5,-0.04395018,-0.37352,1.121632831,2.339222727,698.41254,7.0265217,8.6706839,472.00833,946.96082,439.19644
01-Jun-2002,2002,6,0.0033037,-0.60479,1.02043058,2.1567,692.14624,7.9369998,4.5771446,471.64371,947.23566,439.28564
01-Jul-2002,2002,7,0,0,1.146547181,1.843704545,680.71796,9.3604345,0.79194993,470.82559,947.76239,439.47678
01-Aug-2002,2002,8,-0.11165728,-0.69761,1.429802234,1.673886364,681.55963,9.7940912,2.2508533,471.92517,947.13336,439.6796
01-Sep-2002,2002,9,-0.01259224,-0.9571,1.585054164,1.69035,676.79883,9.8495235,1.9424347,472.86154,947.47034,439.89648
01-Oct-2002,2002,10,0,0,1.443558185,1.621713636,674.95691,10.677391,1.9083961,473.78607,947.34418,440.13992
01-Nov-2002,2002,11,-0.12536406,-0.92593,1.143420559,1.471710526,681.46661,9.6871424,-0.13360102,473.00174,947.638,440.27042
01-Dec-2002,2002,12,0.02275188,-0.33811,1.124579305,1.383866667,680.13519,8.9628572,-1.7967193,472.75967,948.04114,440.33435
01-Jan-2003,2003,1,0.05177513,0.16534,1.016596003,1.30927619,679.75421,8.1827269,-6.0225792,472.24036,948.09918,440.45575
01-Feb-2003,2003,2,0,0,1.155716796,1.246131579,673.03265,8.4335003,-7.4441915,472.44461,948.72046,440.7171
01-Mar-2003,2003,3,-0.01001497,-0.50717,1.058940857,1.216861905,674.07587,8.0438099,-7.7444906,471.89206,947.87659,440.93643
01-Apr-2003,2003,4,0,0,1.012946033,1.229733333,679.1228,7.0161905,-8.1277599,470.98019,948.74841,440.94781
01-May-2003,2003,5,-0.09037497,0.17834,1.27863508,1.143128571,684.13568,6.6318183,-14.671706,468.04047,948.79022,440.96072
01-Jun-2003,2003,6,0.15046097,-0.27153,1.100385919,0.997004762,689.55975,6.3419046,-15.3762,467.57431,949.70313,441.07712
01-Jul-2003,2003,7,0,0,0.937336726,1.093186364,689.99323,5.8569565,-12.851243,468.27603,950.22546,441.27255
01-Aug-2003,2003,8,-0.03742054,-0.10492,0.735197156,1.276709524,689.71606,5.8385715,-10.769048,469.36966,950.74152,441.53012
01-Sep-2003,2003,9,-0.00050415,-0.18495,0.855586469,1.176847619,692.64337,5.3586364,-11.504089,468.2251,951.33075,441.80762
01-Oct-2003,2003,10,-0.08857696,-0.05012,0.83359613,1.216495455,694.5719,4.9208694,-15.62958,466.5206,951.71588,441.93173
01-Nov-2003,2003,11,0,0,0.874236414,1.321316667,695.68262,4.6244998,-15.704845,466.31332,951.97357,442.11154
01-Dec-2003,2003,12,0.03574144,-0.05813,0.740095505,1.294331818,698.51892,4.2800002,-20.574959,465.75311,952.13757,442.33301
01-Jan-2004,2004,1,0.13457744,-0.9677,0.752991181,1.20561,703.24622,3.934762,-23.211382,464.18277,951.71448,442.64325
01-Feb-2004,2004,2,0,0,0.746520514,1.200563158,704.18073,4.2544999,-23.47389,464.81427,952.70129,442.87109
01-Mar-2004,2004,3,-0.06096322,-0.07294,0.907943658,1.14323913,702.44666,4.4017391,-20.38624,465.3902,953.12769,443.08807
01-Apr-2004,2004,4,0,0,0.869264847,1.446642857,703.28986,3.9752381,-18.103701,465.87906,953.02393,443.34869
01-May-2004,2004,5,0.00465405,0.36567,1.067755461,1.78709,700.62927,4.2509522,-18.286758,467.92712,953.83826,443.69061
01-Jun-2004,2004,6,-0.02232292,0.28122,1.324804051,2.077619048,703.25397,4.0690908,-19.375374,466.92465,953.05072,443.9989
01-Jul-2004,2004,7,0,0,1.438309423,2.047838095,700.91095,4.0113635,-20.418367,466.18817,954.23029,444.17841
01-Aug-2004,2004,8,0.04755879,-0.2991,1.626595493,2.005154545,699.28613,4.0813637,-19.683086,466.19971,954.24976,444.30804
01-Sep-2004,2004,9,-0.01579655,0.06393,1.926455934,2.118728571,701.88043,3.8736362,-20.028341,465.78909,954.15625,444.50531
01-Oct-2004,2004,10,0,0,2.080822269,2.21982,701.92847,3.7319047,-22.22086,464.40454,955.03021,444.82443
